country,year,data_source,ElectricityAccess_sharet,ElectricityAccess_popt,ElectricityAccess_shareu,ElectricityAccess_popu,ElectricityAccess_sharer,ElectricityAccess_popr,total_pop,Cleancooking_sharet,Cleancooking_sharer,Cleancooking_shareu,poverty_headcount,multidimensional_poverty,investment_gap_total,investment_gap_rural,investment_gap_urban,hdi,life_exp,schooling,income,poverty_reduction_2030_%,poverty_reduction_2050_%,poverty_reduction_2030_million,poverty_reduction_2050_million,GDPgains_2030_bi,GDPgains_2050_bi,cum_averteddeaths_2030,cum_averteddeaths_2050,GDPgains_cum2030_bi,GDPgains_cum2050_bi,InvRural_cum2030_bi,InvRural_cum2050_bi,InvUrban_cum2030_bi,InvUrban_cum2050_bi,InvRural_2030_bi,InvRural_2050_bi,InvUrban_2030_bi,InvUrban_2050_bi,InvTotal_cum_2030_bi,InvTotal_cum_2050_bi,fid,adm0_id,adm0_src,adm0_name,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,pop_hrea_2020,pop_no_hrea_2020,hrea_2020,pop
Costa Rica,2020,WorldBank,99.9,"5,094",99.9,"2,469",99.7,"2,625",,96.0,88.0,98.0,2.2,2.3,0.000,0.000,0.000,0.809,77,8.8,"19,974",0%,0%,0,0,0.03,0.1,0,0,0.08,1.35,0,0,0,0,0,0,0,0,0,0,65,CRI-20220530,CRI,Costa Rica,188,CR,CRI,CRI,13,Central America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,,,,5182355
Cote D'Ivoire,,"IFS, Pardee",,,,,,,,,,,,,1.603,1.484,0.119,,,,,-2%,-25%,-0.006,-0.128,0.9,14.3,18989,47674.0000000002,2.68,131.58,1.14,1.06,0.09,0.03,0.157,-0.022,0.01,0,1.229,1.087,,,,,,,,,,,,,,,,,,,,,,,
Croatia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.3,0.6,0.001,0.001,0.000,0.858,77.6,12.2,"30,132",0%,0%,0,0,0.02,0.1,0,0,0.07,1.11,0,0,0,0,0,0,0,0,0,0,114,HRV-20220530,HRV,Croatia,191,HR,HRV,HRV,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,4059284
Cuba,2020,WorldBank,100.0,0,100.0,0,100.0,0,,94.0,87.0,97.0,n/a,n/a,0.132,0.065,0.067,0.764,73.7,12.5,"7,879",-1%,-1%,-0.002,-0.001,0.28,1.2,-192,50.0000000001,0.87,16.65,0.06,0.07,0.05,0.03,0.003,0.004,0,0.01,0.112,0.097,66,CUB-20220530,CUB,Cuba,192,CU,CUB,CUB,29,Caribbean,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,,,,11305650
Curaçao,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,CUW-20220530,CUW,Curaçao (Neth.),531,CW,CUW,NLD,29,Caribbean,419,Latin America and the Caribbean,19,Americas,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,165531
Cyprus,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.2,1.2,0.000,0.000,0.000,0.896,81.2,12.4,"38,188",0%,0%,0,0,0.02,0.01,0,0,0.05,0.53,0,0,0,0,0,0,0,0,0,0,70,CYP-20220530,CYP,Cyprus,196,CY,CYP,CYP,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,1223390
Czech Republic,,"IFS, Pardee",,,,,,,,,,,,,0.016,0.007,0.009,,,,,0%,0%,0,0,0.1,0.4,-2,-15,0.4,5.6,0.01,0.04,0.01,0.04,0,0.002,0,0,0.013,0.08,,,,,,,,,,,,,,,,,,,,,,,
Czechia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0,0,,,,0.889,77.7,12.9,"38,745",,,,,,,,,,,,,,,,,,,,,71,CZE-20220530,CZE,Czechia,203,CZ,CZE,CZE,151,Eastern Europe,151,Eastern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,10735840
Côte d'Ivoire,,,,,,,,,,,,,,,,,,0.55,58.6,5.2,"5,217",,,,,,,,,,,,,,,,,,,,,56,CIV-20220530,CIV,Côte d'Ivoire,384,CI,CIV,CIV,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,9015039,4000134,0.6926561022,27742303
Côte d’Ivoire,2020,WorldBank,69.7,"7,998,124",94.5,"754,163",43.1,"7,243,962",,32.0,1.0,62.0,11.4,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demchok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,XDE-20220530,XDE,,908,XH,XDE,XDE,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,992
Democratic People's Republic of Korea,2020,WorldBank,52.3,"12,293,003",43.3,"9,110,664",67.2,"3,182,338",,12.0,1.0,18.0,n/a,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,PRK-20220530,PRK,Democratic People's Republic of Korea,408,KP,PRK,PRK,30,Eastern Asia,30,Eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,25990669
Democratic Republic of the Congo,2020,WorldBank,19.1,"72,455,176",40.7,"24,254,680",1.0,"48,200,496",,4.0,0.0,8.0,69.7,78.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,COD-20220530,COD,Democratic Republic of the Congo,180,CD,COD,COD,17,Middle Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,11975405,33180023,0.2652041079,95240783
Denmark,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.3,0.9,0.000,0.000,0.000,0.948,81.4,13,"60,365",0%,0%,0,0,0,0.1,0,-4,0,1.8,0,0,0,0,0,0,0,0,0,0,75,DNK-20220530,DNK,Denmark,208,DK,DNK,DNK,154,Northern Europe,154,Northern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,5834948
Djibouti,2020,WorldBank,61.8,"377,742",72.2,"214,735",24.8,"163,007",,10.0,0.0,12.0,19.1,29.3,0.035,0.035,0.000,0.509,62.3,4.1,"5,025",-1%,-2%,0,0,0.008,0.098,56,148,0.026,1.047,0.03,0.02,0,0,0.003,-0.001,0,0,0.026,0.0229,73,DJI-20220530,DJI,Djibouti,262,DJ,DJI,DJI,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,308392,64858,0.8262344273,1016099
Dominica,2020,WorldBank,100.0,0,0.0,0,0.0,0,,89.0,82.0,96.0,n/a,n/a,,,,0.72,72.8,8.1,"11,488",,,,,,,,,,,,,,,,,,,,,74,DMA-20220530,DMA,Dominica,212,DM,DMA,DMA,29,Caribbean,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,,,,72337
Dominican Republic,2020,WorldBank,100.0,0,100.0,0,100.0,0,,92.0,76.0,96.0,1.1,2.9,0.035,0.021,0.014,0.767,72.6,9.3,"17,990",0%,0%,0,0,0.2,0.7,0,-3,0.6,10.1,0.02,0.02,0,0,0.002,0,0,0,0.021,0.014,76,DOM-20220530,DOM,Dominican Republic,214,DO,DOM,DOM,29,Caribbean,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,5801728,272805,0.9550903748,11056366
Doumeira Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,XDI-20220530,XDI,,909,XI,XDI,XDI,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,0,0
Dramana-Shakatoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,XDS-20220530,XDS,,910,XJ,XDS,XDS,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,44
Ecuador,2020,WorldBank,98.9,"202,895",99.7,"38,491",97.4,"164,404",,94.0,85.0,99.0,6.5,6.9,0.406,0.218,0.188,0.74,73.7,8.8,"10,312",-1%,-1%,-0.001,-0.002,0.2,1.6,-9,17,0.63,19.13,0.15,-0.01,0.14,0.17,0.013,0,0.02,0,0.287,0.164,78,ECU-20220530,ECU,Ecuador,218,EC,ECU,ECU,5,South America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,8660863,647237,0.9304651862,18113383
Egypt,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,2.5,3.5,0.626,0.439,0.187,0.731,70.2,9.6,"11,732",-2%,-2%,-0.025,-0.027,1.7,9,450,2570.0000000004,4.9,113.3,0.3,0.24,0.14,0.15,0.029,-0.011,0.01,0,0.436,0.393,79,EGY-20220530,EGY,Egypt,818,EG,EGY,EGY,15,Northern Africa,15,Northern Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,52176295,627820,0.9881103963,106156696
El Salvador,2020,WorldBank,100.0,0,100.0,0,100.0,0,,92.0,81.0,97.0,1.4,4.4,0.000,0.000,0.000,0.675,70.7,7.2,"8,296",0%,0%,0,0,0.01,0.01,0,0,0.01,0.24,0,0,0,0,0,0,0,0,0,0,222,SLV-20220530,SLV,El Salvador,222,SV,SLV,SLV,13,Central America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,2390300,530784,0.8182921135,6550396
Equatorial Guinea,2020,WorldBank,66.7,"466,524",91.0,"92,641",0.9,"373,883",,24.0,4.0,33.0,n/a,n/a,0.148,0.126,0.022,0.596,60.6,5.9,"12,074",-1%,-8%,-0.001,-0.002,0.12,1.76,654,4152,0.35,17.22,0.09,0.08,0.02,0.01,0.01,-0.001,0,0,0.104,0.097,103,GNQ-20220530,GNQ,Equatorial Guinea,226,GQ,GNQ,GNQ,17,Middle Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,155708,130569,0.5439067756,1496672
Eritrea,2020,WorldBank,52.2,"1,649,481",76.3,"288,205",39.0,"1,361,276",,9.0,1.0,20.0,n/a,n/a,1.615,1.356,0.259,0.492,66.5,4.9,"1,729",-15%,-35%,-0.005,-0.02,0.058,3,1807,6723,0.163,20.721,1.11,0.9,0.23,0.16,0.148,-0.039,0.03,0,1.339,1.055,80,ERI-20220530,ERI,Eritrea,232,ER,ERI,ERI,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,625314,3531949,0.1504148282,3662251
Estonia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.6,0.8,0.000,0.000,0.000,0.89,77.1,13.5,"38,048",0%,0%,0,0,0.01,0.01,0,-1,0.04,0.42,0,0,0,0,0,0,0,0,0,0,85,EST-20220530,EST,Estonia,233,EE,EST,EST,154,Northern Europe,154,Northern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,1322002
Eswatini,2020,WorldBank,79.7,"235,159",92.2,"21,877",75.8,"213,283",,55.0,41.0,89.0,36.1,40.8,0.115,0.104,0.011,,,,,-5%,-41%,-0.001,-0.006,0.064,0.95,724,1864,0.192,8.819,0.08,0.07,0.01,0.01,0.01,-0.001,0,0,0.0886,0.0813,233,SWZ-20220530,SWZ,Eswatini,748,SZ,SWZ,SWZ,18,Southern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,442593,266538,0.6241343278,1184822
Eswatini (Kingdom of),,,,,,,,,,,,,,,,,,0.597,57.1,5.6,"7,679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,2020,WorldBank,51.1,"56,224,110",93.2,"1,684,059",39.4,"54,540,051",,8.0,0.0,29.0,27,72.7,27.722,25.290,2.432,0.498,65,3.2,"2,361",-28%,-37%,-0.41,-0.792,3,90.6,81529.9999999999,343560,8.94,682.44,22.17,21.37,2.25,3.38,2.493,-0.458,0.3,0.02,24.426,24.747,86,ETH-20220530,ETH,Ethiopia,231,ET,ETH,ETH,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,17256816,48134270,0.2639016578,120812697
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,FLK-20220530,FLK,Falkland Islands (Malvinas),238,FK,FLK,GBR,5,South America,419,Latin America and the Caribbean,19,Americas,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,3534
Faroe Islands,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,FRO-20220530,FRO,Faroe Islands (Den.),234,FO,FRO,DNK,154,Northern Europe,154,Northern Europe,150,Europe,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,49230
Fiji,2020,WorldBank,100.0,0,100.0,0,100.0,0,,51.0,28.0,70.0,1.3,1.6,0.007,0.007,0.000,0.73,67.1,10.9,"9,980",0%,0%,0,0,0.006,0.02,69,146,0.018,0.385,0.01,0,0,0,0.001,0,0,0,0.0056,0.0015,88,FJI-20220530,FJI,Fiji,242,FJ,FJI,FJI,54,Melanesia,54,Melanesia,9,Oceania,1,State,2021/05/28,2022/05/30,intl,,,,909457
Finland,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0,1,0.017,0.007,0.010,0.94,82,12.9,"49,452",0%,0%,0,0,0.2,0.8,-1,-6,0.7,11.4,0.01,0.03,0.01,0.06,0.001,0.001,0,0,0.013,0.094,87,FIN-20220530,FIN,Finland,246,FI,FIN,FIN,154,Northern Europe,154,Northern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,5554953
France,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0,1.7,0.298,0.196,0.102,0.903,82.5,11.6,"45,937",0%,0%,0,0,2,7,10,-100.0000000001,7,93,0.17,0.62,0.06,0.52,0.021,0.021,0,0.02,0.237,1.14,90,FRA-20220530,FRA,France,250,FR,FRA,FRA,155,Western Europe,155,Western Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,65584513
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,GUF-20220530,GUF,French Guiana (Fr.),254,GF,GUF,FRA,5,South America,419,Latin America and the Caribbean,19,Americas,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,314170
French Polynesia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,PYF-20220530,PYF,French Polynesia (Fr.),258,PF,PYF,FRA,61,Polynesia,61,Polynesia,9,Oceania,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,284160
French Southern Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,ATF_1-20220530,ATF_1,Kerguelen Islands (Fr.),260,TF,ATF,FRA,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,0
Gabon,2020,WorldBank,91.6,"187,594",98.6,"28,294",27.8,"159,300",,88.0,46.0,94.0,2.5,8.4,0.078,0.022,0.056,0.706,65.8,9.4,"13,367",0%,-3%,-0.001,-0.001,0.14,1.52,430,1497,0.42,15.4,0.02,0.02,0.05,0.06,0.003,0,0.01,0,0.064,0.081,93,GAB-20220530,GAB,Gabon,266,GA,GAB,GAB,17,Middle Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,487623,191646,0.7178643512,2331533
Gambia,2020,WorldBank,62.3,"911,733",80.6,"292,877",31.6,"618,856",,2.0,0.0,2.0,13.4,18.3,0.194,0.150,0.044,0.5,62.1,4.6,"2,172",1%,-10%,0,-0.005,0.021,0.53,1234,3781,0.058,4.274,0.11,0.11,0.03,0.04,0.015,-0.002,0.01,0,0.149,0.148,101,GMB-20220530,GMB,Gambia,270,GM,GMB,GMB,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,723577,430202,0.627136566,2558493
Georgia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,89.0,79.0,97.0,5.8,5.8,0.000,0.000,0.000,0.802,71.7,12.8,"14,664",0%,0%,0,0,0.02,0.03,0,8,0.04,0.5,0,0,0,0,0,0,0,0,0,0,95,GEO_1-20220530,GEO_1,Georgia,268,GE,GEO,GEO,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,3968729
Germany,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0,0.2,0.068,0.030,0.038,0.942,80.6,14.1,"54,534",0%,0%,0.001,0,0,2,0,-50,0,26,0.02,0.11,0.03,0.09,0.006,0.002,0,0,0.046,0.197,72,DEU-20220530,DEU,Germany,276,DE,DEU,DEU,155,Western Europe,155,Western Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,83883314
Ghana,2020,WorldBank,85.9,"4,389,504",94.7,"942,594",74.0,"3,446,910",,22.0,9.0,34.0,25.3,32.9,1.660,1.329,0.331,0.632,63.8,8.3,"5,745",2%,-2%,0.007,-0.008,0.1,3,7461,19390.0000000001,0.39,26.49,0.99,0.24,0.26,0.24,0.122,-0.042,0.04,0,1.246,0.475,97,GHA-20220530,GHA,Ghana,288,GH,GHA,GHA,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,12966000,2917020,0.8163434914,32395456
Gibraltar,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,GIB-20220530,GIB,Gibraltar (UK),292,GI,GIB,GBR,39,Southern Europe,39,Southern Europe,150,Europe,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,33714
Greece,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.7,3,0.027,0.018,0.009,0.887,80.1,11.4,"29,002",0%,0%,0,0,0.2,0.8,-3,-34.0000000001,0.6,8.9,0.02,0.07,0.01,0.13,0.002,0.002,0,0,0.023,0.195,104,GRC-20220530,GRC,Greece,300,GR,GRC,GRC,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,10316641
Greenland,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,GRL-20220530,GRL,Greenland (Den.),304,GL,GRL,DNK,21,Northern America,21,Northern America,19,Americas,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,56975
Grenada,2020,WorldBank,93.6,"7,216",0.0,0,0.0,0,,89.0,88.0,94.0,n/a,,0.004,0.003,0.001,0.795,74.9,9,"13,484",-1%,-1%,0,0,0.003,0.02,0,2,0.008,0.246,0,0,0,0,0,0,0,0,0.0029,-0.0001,105,GRD-20220530,GRD,Grenada,308,GD,GRD,GRD,29,Caribbean,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,51631,875,0.9833352379,113478
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,GLP-20220530,GLP,Guadeloupe (Fr.),312,GP,GLP,FRA,29,Caribbean,419,Latin America and the Caribbean,19,Americas,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,399804
Guam,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,GUM-20220530,GUM,Guam (USA),316,GU,GUM,USA,57,Micronesia,57,Micronesia,9,Oceania,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,171528
Guatemala,2020,WorldBank,97.1,"496,433",97.5,"222,038",96.6,"274,395",,50.0,14.0,75.0,9.5,22.2,0.018,0.011,0.007,0.627,69.2,5.7,"8,723",0%,-1%,-0.001,-0.002,0.05,0.4,130,495,0.16,5.22,0.01,0,0.01,0,0.001,0,0,0,0.013,0.004,107,GTM-20220530,GTM,Guatemala,320,GT,GTM,GTM,13,Central America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,5899370,2512651,0.7013023386,18584040
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,GGY-20220530,GGY,Guernsey (UK),831,GG,GGY,GBR,830,Channel Islands,154,Northern Europe,150,Europe,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,66033
Guinea,2020,WorldBank,44.7,"7,266,547",88.1,"577,087",19.3,"6,689,461",,2.0,0.0,4.0,13.8,51.7,2.225,2.178,0.047,0.465,58.9,2.2,"2,481",-11%,-56%,-0.017,-0.151,0.35,6.03,21665,80524,1.06,52.07,1.72,2.6,0.04,0.08,0.234,0.013,0,0,1.758,2.681,99,GIN-20220530,GIN,Guinea,324,GN,GIN,GIN,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,2615930,4665345,0.3592681227,13865683
Guinea Bissau,,"IFS, Pardee",,,,,,,,,,,,,0.364,0.310,0.054,,,,,1%,-131%,0.001,-0.047,0.013,0.358,1791,7578,0.038,2.659,0.26,0.37,0.05,0.05,0.032,-0.001,0.01,0,0.301,0.428,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,2020,WorldBank,33.3,"1,311,957",56.3,"380,314",15.2,"931,643",,1.0,0.0,2.0,21.7,46.1,,,,0.483,59.7,3.6,"1,908",,,,,,,,,,,,,,,,,,,,,102,GNB-20220530,GNB,Guinea-Bissau,624,GW,GNB,GNB,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,347703,719661,0.3257585978,2063358
Guyana,2020,WorldBank,92.5,"58,673",96.9,"6,533",90.9,"52,140",,81.0,80.0,84.0,11.9,,0.001,0.001,0.000,0.714,65.7,8.6,"22,465",0%,0%,0,0,0.27,0.16,1,33,0.72,6.88,0,0,0,0,-0.002,0,0,0,-0.0033,-0.0044,110,GUY-20220530,GUY,Guyana,328,GY,GUY,GUY,5,South America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,380612,63168,0.8576592005,794040
Haiti,2020,WorldBank,46.9,"6,051,834",80.5,"1,266,435",2.2,"4,785,398",,4.0,1.0,7.0,29.2,46.8,0.071,0.030,0.041,0.535,63.2,5.6,"2,848",-2%,-35%,-0.002,-0.054,0.03,0.45,1679,6029.9999999999,0.11,4.31,0.02,0.02,0.02,0.04,-0.002,-0.001,0,0,0.034,0.066,115,HTI-20220530,HTI,Haiti,332,HT,HTI,HTI,29,Caribbean,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,1492158,3431448,0.3030620241,11680283
Hala'ib Triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,XHT-20220530,XHT,,913,XN,XHT,SDN,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,971,684,0.5867069486,7518
Hans Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,XHI-20220530,XHI,,912,XM,XHI,XHI,21,Northern America,21,Northern America,19,Americas,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,0
Heard Island and McDonald Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,HMD-20220530,HMD,Heard Island and McDonald Islands (Aust.),334,HM,HMD,AUS,53,Australia and New Zealand,53,Australia and New Zealand,9,Oceania,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,0
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,VAT-20220530,VAT,Holy See,336,VA,VAT,VAT,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,808
Honduras,2020,WorldBank,93.2,"672,849",100.0,0,83.7,"672,849",,48.0,23.0,73.0,12.7,14.8,0.000,0.000,0.000,0.621,70.1,7.1,"5,298",0%,3%,0.001,0.005,0.01,0.03,0,3,0.04,0.51,0,0,0,0,0,0,0,0,0,0,113,HND-20220530,HND,Honduras,340,HN,HND,HND,13,Central America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,3432087,793163,0.8122802201,10221258
Hong Kong,,"IFS, Pardee",,,,,,,,,,,,,0.000,0.000,0.000,,,,,0%,0%,0,0,0.1,0,0,0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong, China (SAR)",,,,,,,,,,,,,,,,,,0.952,85.5,12.2,"62,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong, Special Administrative Region of China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,HKG-20220530,HKG,"Hong Kong, SAR China",344,HK,HKG,CHN,30,Eastern Asia,30,Eastern Asia,142,Asia,6,Special region or province,2021/05/28,2022/05/30,intl,4100888,8925,0.9978283683,7604306
Hungary,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.3,0.4,0.120,0.067,0.053,0.846,74.5,12.2,"32,789",0%,0%,0,0,0.3,0.8,-7,-4,1,13.7,0.06,0.17,0.04,0.16,0.006,0.005,0,0.01,0.099,0.324,116,HUN-20220530,HUN,Hungary,348,HU,HUN,HUN,151,Eastern Europe,151,Eastern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,9606247
Iceland,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0,0.2,0.000,0.000,0.000,0.959,82.7,13.8,"55,782",0%,0%,0,0,0.01,0.01,0,0,0.01,0.13,0,0,0,0,0,0,0,0,0,0,124,ISL-20220530,ISL,Iceland,352,IS,ISL,ISL,154,Northern Europe,154,Northern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,345398
Ilemi Triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,XIT_1-20220530,XIT_1,,916,XQ,XIT,SSD,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,88,18134,0.0048293272,16265
Imia/Kardak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,XIK-20220530,XIK,,915,XP,XIK,XIK,39,Southern Europe,39,Southern Europe,150,Europe,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,0
India,2020,WorldBank,99.0,"13,800,044",100.0,0,98.5,"13,800,044",,68.0,54.0,91.0,10,,17.180,13.870,3.310,0.633,67.2,6.7,"6,590",1%,0%,0.22,-0.023,2,23,382799.999999999,663000,5,361,8.81,-2.94,2.51,2.01,1.59,0,0.37,0,11.321,-0.93,119,IND-20220530,IND,India,356,IN,IND,IND,34,Southern Asia,34,Southern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,667101845,82160796,0.8903444647,1406631780
