country,year,data_source,ElectricityAccess_sharet,ElectricityAccess_popt,ElectricityAccess_shareu,ElectricityAccess_popu,ElectricityAccess_sharer,ElectricityAccess_popr,total_pop,Cleancooking_sharet,Cleancooking_sharer,Cleancooking_shareu,poverty_headcount,multidimensional_poverty,investment_gap_total,investment_gap_rural,investment_gap_urban,hdi,life_exp,schooling,income,poverty_reduction_2030_%,poverty_reduction_2050_%,poverty_reduction_2030_million,poverty_reduction_2050_million,GDPgains_2030_bi,GDPgains_2050_bi,cum_averteddeaths_2030,cum_averteddeaths_2050,GDPgains_cum2030_bi,GDPgains_cum2050_bi,InvRural_cum2030_bi,InvRural_cum2050_bi,InvUrban_cum2030_bi,InvUrban_cum2050_bi,InvRural_2030_bi,InvRural_2050_bi,InvUrban_2030_bi,InvUrban_2050_bi,InvTotal_cum_2030_bi,InvTotal_cum_2050_bi,fid,adm0_id,adm0_src,adm0_name,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,pop_hrea_2020,pop_no_hrea_2020,hrea_2020,pop
Suriname,2020,WorldBank,98.2,"10,531",99.0,"3,955",96.7,"6,576",,94.0,90.0,97.0,18.4,,0.000,0.000,0.000,0.73,70.3,9.8,"12,672",1%,0%,0,0,0,0.001,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,229,SUR-20220530,SUR,Suriname,740,SR,SUR,SUR,5,South America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,281261,29087,0.9062761803,596841
Svalbard and Jan Mayen Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,SJM_1-20220530,SJM_1,Svalbard Islands (Nor.),744,SJ,SJM,NOR,154,Northern Europe,154,Northern Europe,150,Europe,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,3009
Sweden,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.3,2.5,0.000,0.000,0.000,0.947,83,12.6,"54,489",0%,0%,0,0,0,1,-1,-6,0.2,6.5,0,0,0,0,0,0,0,0,0,0,232,SWE-20220530,SWE,Sweden,752,SE,SWE,SWE,154,Northern Europe,154,Northern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,10218949
Switzerland,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0,0.2,0.021,0.013,0.008,0.962,84,13.9,"66,933",0%,0%,0,0,0.3,2,-2,-13,0.9,19.6,0.01,0.04,0.01,0.01,0,0.004,0,0,0.017,0.054,53,CHE-20220530,CHE,Switzerland,756,CH,CHE,CHE,155,Western Europe,155,Western Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,8773642
Syrian Arab Republic,2020,WorldBank,89.1,"1,900,515",100.0,0,75.6,"1,900,515",,97.0,97.0,99.0,1.1,,0.659,0.659,0.000,0.577,72.1,5.1,"4,192",-3%,-24%,-0.01,-0.07,0.01,0.1,-20,-41,0.02,0.65,0.62,0.34,0,0,0.081,-0.008,0,0,0.623,0.343,236,SYR-20220530,SYR,Syrian Arab Republic,760,SY,SYR,SYR,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,19364805
Taiwan,,"IFS, Pardee",,,,,,,,,,,,,0.154,0.027,0.127,,,,,0%,0%,0,0,0.6,4,-10,-140.0000000001,2,44.5,0.02,0.03,0.08,0.28,0.003,0,0.01,0.03,0.106,0.313,,,,,,,,,,,,,,,,,,,,,,,
"Taiwan, Province of China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,TWN-20220530,TWN,Taiwan,158,TW,TWN,CHN,30,Eastern Asia,30,Eastern Asia,142,Asia,6,Special region or province,2021/05/28,2022/05/30,intl,,,,23888597
Tajikistan,2020,WorldBank,99.8,"21,050",99.1,"24,848",100.0,0,,82.0,77.0,97.0,6.1,7,0.178,0.130,0.048,0.685,71.6,11.3,"4,548",0%,-1%,-0.001,-0.001,0.06,0.38,1032,2267,0.19,4.42,0.13,0.01,0.05,0.01,0.01,0,0.01,0,0.174,0.027,241,TJK-20220530,TJK,Tajikistan,762,TJ,TJK,TJK,143,Central Asia,143,Central Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,4222165,650507,0.8664989148,9957468
Tanzania,2018,HBS,,,,,,,,,,,,54.6,11.748,10.540,1.208,,,,,-16%,-157%,-0.12,-1.94,1.24,29.5,54932,186001,3.67,235.57,8.73,8.78,1.08,1.6,1.082,-0.166,0.15,0.01,9.812,10.381,,,,,,,,,,,,,,,,,,,,,,,
Tanzania (United Republic of),,,,,,,,,,,,,,,,,,0.549,66.2,6.4,"2,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
